ID_PRODUIT,CATEGORIE,NOM_PRODUIT,SOUS_TITRE,DESCRIPTION_COURTE,DESCRIPTION_LONGUE,POIDS_M2,EPAISSEUR,FORMAT_MAX_CM,USAGE,DUREE_VIE,CERTIFICATION,FINITION,IMPRESSION_FACES,COUT_ACHAT_M2,PRIX_SIMPLE_FACE_M2,PRIX_DOUBLE_FACE_M2,PRIX_0_10_M2,PRIX_11_50_M2,PRIX_51_100_M2,PRIX_101_300_M2,PRIX_300_PLUS_M2,COMMANDE_MIN_EURO,DELAI_STANDARD_JOURS,UNITE_VENTE
FX-2MM,Supports rigides PVC,Forex 2mm (PVC Foam),PVC Foam - Ultra léger,PVC expansé 2mm pour affichage léger,"Panneau PVC expansé ultra-léger 2mm. Structure alvéolaire fine. Parfait pour kakémonos légers, affichage intérieur temporaire. Facile à découper et percer. Classement au feu M1.",1.4,2mm,200x300,Intérieur/Extérieur abrité,1-2 ans,M1 - Ignifugé,Mat blanc,Simple ou double,12,12,18,32,28,25,22,20,25,3,m²
FX-3MM,Supports rigides PVC,Forex 3mm (PVC Foam),PVC Foam - Standard polyvalent,PVC expansé 3mm - Le plus populaire,"Panneau PVC expansé 3mm, standard du marché. Structure alvéolaire légère et rigide. Excellent rapport qualité/prix. Résistant aux intempéries. Facile à travailler. Impression HD. Classement M1. Parfait pour enseignes, panneaux, PLV, stands.",1.75,3mm,200x300,Intérieur/Extérieur abrité,2-3 ans,M1 - Ignifugé,Mat blanc,Simple ou double,12,12,18,32,28,25,22,20,25,3,m²
FX-5MM,Supports rigides PVC,Forex 5mm (PVC Foam),PVC Foam - Rigidité supérieure,PVC expansé 5mm pour enseignes durables,"Panneau PVC expansé 5mm renforcé. Excellente rigidité, ne fléchit pas. Idéal enseignes extérieures, panneaux chantier, affichage permanent. Résiste UV et intempéries. Classement M1.",2.9,5mm,200x300,Extérieur,3-5 ans,M1 - Ignifugé,Mat blanc,Simple ou double,18,18,28,45,40,36,33,30,25,3,m²
FX-8MM,Supports rigides PVC,Forex 8mm (PVC Foam),PVC Foam - Haute rigidité,PVC expansé 8mm ultra-rigide,"Panneau PVC expansé 8mm ultra-rigide. Structure renforcée grands formats. Ne gondole jamais. Parfait enseignes pro, panneaux architecturaux, structures autoportantes. Excellente résistance mécanique et climatique. M1.",4.8,8mm,200x300,Extérieur longue durée,5-7 ans,M1 - Ignifugé,Mat blanc,Simple ou double,24,24,34,58,52,48,44,40,25,3,m²
FX-10MM,Supports rigides PVC,Forex 10mm (PVC Foam),PVC Foam - Structure,PVC expansé 10mm pour structures,"Panneau PVC expansé 10mm ultra-épais. Rigidité maximale. Usage structurel : présentoirs, totems, mobilier événementiel. Excellente isolation. Tenue mécanique exceptionnelle. M1.",5.9,10mm,200x300,Extérieur/Structure,7-10 ans,M1 - Ignifugé,Mat blanc,Simple face,30,30,-,68,62,58,54,50,25,3,m²
DB-2MM,Supports aluminium premium,Dibond Alu 2mm,Aluminium composite - Léger,Composite aluminium 2mm ultra-léger,"Panneau composite aluminium 2 faces + âme polyéthylène. Ultra-léger mais rigide. Parfait enseignes intérieures haut de gamme, panneaux décoratifs. Finition mate ou brillante. Ne rouille jamais. Aspect professionnel premium.",2.9,2mm,150x405,Intérieur/Extérieur,10+ ans,M1 - Ignifugé,Mat blanc ou brillant,Simple ou double,24,24,34,58,52,48,44,40,25,3,m²
DB-3MM,Supports aluminium premium,Dibond Alu 3mm,Aluminium composite - Standard pro,Composite aluminium 3mm - Standard professionnel,"Panneau composite 2 faces alu + âme polyéthylène. LE standard enseignes professionnelles. Rigidité exceptionnelle, ne gondole jamais. Résistance extrême UV, pluie, vent. Finition mate, brillante ou brossée. Garantie 10+ ans extérieur. Idéal façades, enseignes durables, signalétique urbaine.",4,3mm,150x405,Extérieur longue durée,10+ ans,M1 - Ignifugé,"Mat, brillant ou brossé",Simple ou double,24,24,34,58,52,48,44,40,25,3,m²
DB-3MM-BRUSH,Supports aluminium premium,Dibond Alu 3mm Brossé,Aluminium brossé - Prestige,Composite aluminium brossé effet métal,"Panneau Dibond 3mm finition brossée premium. Aspect aluminium brossé du plus bel effet. Qualité prestige pour enseignes haut de gamme, plaques professionnelles, signalétique luxe. Résistance maximale extérieur. Garantie 10+ ans.",4,3mm,150x405,Extérieur longue durée,10+ ans,M1 - Ignifugé,Aluminium brossé,Simple ou double,25,25,35,60,55,52,48,45,25,3,m²
CP-8MM,Supports rigides économiques,Channel Plate 8mm,Support carton - Économique,Support carton léger pour PLV temporaire,"Support en carton alvéolaire blanc. Idéal affichage temporaire magasin, événements courts, tests produits. Léger et facile à découper. Surface lisse pour impression qualité. Recyclable.",0.5,8mm,200x300,Intérieur uniquement,1-3 mois,Non classé,Mat blanc,Simple face,8,8,14,22,19,17,15,13,25,3,m²
HIPS-3MM,Supports plastiques alternatifs,HIPS 3mm,Polystyrène choc - Alternatif malin,Alternative entre Forex et Dibond,"Panneau HIPS (High Impact Polystyrene) 3mm. Rigidité proche Dibond, prix proche Forex. Excellente alternative économique. Résistant aux chocs. Parfait pour enseignes boutiques, PLV semi-permanente, panneaux intérieurs. Bonne tenue extérieur abrité. Finition brillante.",2.5,3mm,205x305,Intérieur/Extérieur abrité,3-5 ans,Non classé,Blanc brillant,Simple ou double,14,14,22,38,34,31,28,26,25,3,m²
